Jour,JANVIER,FEVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOUT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DECEMBRE
1,,1,6.5,3,1,,14.5,1,,3,,
2,2,2,3,,6,4,5,1,8,12,,
3,1,3.5,3,,2.5,5,,2,,,,3
4,4.5,10,8,,3,,,,,,6,
5,,3,21,,1,3,,1.5,4,6,2,
6,,3,,,5,13,4,,,3,1,
7,3,3,1,,1,1,,,,3,3,14
8,0,4,26,,,,,13,50,1,3,
9,15,1,7,,,17,7,1,2,,,
10,2,1,,,,,3,5,5,2,10,20
11,4,1,,,6,,9.5,1,2,,16,14
12,23,,,,3.5,,7,9,7,2,10,1
13,9,,,,0.5,,1,,25,,,27
14,2,,,,1,,1,,11,,,10
15,1,5,,2.5,,,,20,2,,2,10
16,,1,,2,,,,,,,1,
17,,4,5,3,17,,,21,4,,,8
18,,,7,,13,,,10,5,,7,1
19,,1,1,,6,,5,3,1,2,,
20,,4,1,,,,,1,,4,12,2
21,,10,2,,,,,,,4,2,3
22,,9,,,,,18,,,9,,1
23,,4.5,,,,,5,,,5,14,3
24,,4,,1,,,11,,,10,3,3
25,,,,1,,,1,1,,,2,3
26,,,,3,,,5,,,1,1,14
27,1,14,,1,,27,2,,,,51,8
28,4,10,1,4,,11,,,,3,3,
29,20,,,,,1,,,22,1,6,28
30,7,,,3,,10,,8,16,,4,17
31,1,,3,,,,3,2,,,,4
